files,title,id,authors
"P84-1017.pdf,P84-1017.bib",The Costs of Inheritance in Semantic Networks,P84-1017,Rob't F. Sinlnlons
"P84-1018.pdf,P84-1018.bib",FUNCTIONAL UNIFICATION GRAMMAR: A FORMALISM FOR MACHINE TRANSLATION,P84-1018,Martin Kay
"P84-1019.pdf,P84-1019.bib",COMPUTER SIMULATION OF SPONTANEOUS SPEECH PRODUCTION,P84-1019,Bengt Sigurd
"P84-1020.pdf,P84-1020.bib",LIMITED DOMAIN SYSTEMS FOR LANGUAGE TEACHING,P84-1020,S G Pulman
"P84-1021.pdf,P84-1021.bib",GTT : A GENERAL TRANSDUCER FOR TEACHING COMPUTATIONAL LINGUISTICS,P84-1021,"P. Shane,J.L. Cochard"
"P84-1022.pdf,P84-1022.bib",A PARSING ARCHITECTURE BASED ON DISTRIBUTED MEMORY MACHINES,P84-1022,Jon M. Slack
"P84-1023.pdf,P84-1023.bib",AUTOMATED DETERMINATION OF SUBLANGUAGE SYNTACTIC USAGE,P84-1023,"Ralph Grishman,Ngo Thanh Nhan,Elate Marsh,Lyneae Hirschman"
"P84-1024.pdf,P84-1024.bib",Semantic Interpretation Using KL-ONE,P84-1024,"Norman K. Sondheimer,Ralph M. Weischedel,Robert J. Bobrow"
"P84-1025.pdf,P84-1025.bib",TWO THEORIES FOR COMPUTING THE LOGICAL FORM OF MASS EXPRESSIONS,P84-1025,"Francis Jeffry Pelletier,Lenhart K. Schubert"
"P84-1026.pdf,P84-1026.bib",SYNTACTIC AND SEMANTIC PARSABILITY,P84-1026,Geoffrey K. Pullum
"P84-1027.pdf,P84-1027.bib",The Semantics of Grammar Formalisms Seen as Computer Languages,P84-1027,"Fernando C. N. Pereira,Stuart M. Shieber"
P81-1000.pdf,Front Matter,P81-1000,
"P81-1001.pdf,P81-1001.bib",A Practical Comparison of Parsing Strategies,P81-1001,Jonathan Slocum
"P81-1002.pdf,P81-1002.bib",COMPUTATIONAL COMPLEXITY AND LEXICAL FUNTIONAL GRAMMAR,P81-1002,Robert C. Berwick
"P81-1003.pdf,P81-1003.bib",Corepresentational Grammar and Parsing English Comparatives,P81-1003,Karen Ryan
"P81-1004.pdf,P81-1004.bib",PERFORMANCE COMPARISON OF COMPONENT ALGORITHMS FOR THE PHONEMICIZATION OF ORTHOGRAPHY,P81-1004,"Jared Bernstein,Larry Nessly"
"P81-1005.pdf,P81-1005.bib",PHONY: A Heuristic Phonological Analyzer,P81-1005,Lee A. Becker
"P81-1006.pdf,P81-1006.bib",EVALUATION OF NATURAL LANGUAGE INTERFACES TO DATABASE SYSTEMS: A PANEL DISCUSSION,P81-1006,Norman K. Sondheimer
"P81-1007.pdf,P81-1007.bib",Artificial Intelligence Corporation,P81-1007,J. Norwood Crout
"P81-1008.pdf,P81-1008.bib",SELECTIVE PLANNING OF INTERFACE EVALUATIONS,P81-1008,William C. Mann
"P81-1009.pdf,P81-1009.bib",FIELD TESTING THE TRANSFORMATIONAL QUESTION ANSWERING (TQA) SYSTEM,P81-1009,S. R. Patrick
"P81-1010.pdf,P81-1010.bib",What Makes Evaluation Hard?,P81-1010,Harry Tennant
"P81-1011.pdf,P81-1011.bib",EVALUATION OF NATURAL LANGUAGE INTERFACES TO DATA BASE SYSTEMS,P81-1011,Bozena Henisz Thompson
"P81-1012.pdf,P81-1012.bib",TWO DISCOURSE GENERATORS,P81-1012,William C. Mann
